"","lon","lat","zip","id","result","zipcode"
"488",12.5722486446189,55.6813325319192,1165,12638973,"Fiolstræde 9, 1171 København K, Denmark"," 1171 "
"489",12.572593866027,55.6803274879144,1165,2872056,"Museumshuset, 1172 København K, Denmark"," 1172 "
"490",12.5723097908633,55.6818922219973,1165,4747944,"Fiolstræde 34, 1171 København K, Denmark"," 1171 "
"491",12.5708356695692,55.68195119181,1165,1785730,"Nørregade 47, 1165 København K, Denmark"," 1165 "
"492",12.5719431453031,55.6807961639546,1165,6815290,"Krystalgade 20A, 1172 København K, Denmark"," 1172 "
"493",12.57108840695,55.6807597942211,1165,12153084,"Nørregade 27, 1165 København K, Denmark"," 1165 "
"494",12.5699740446891,55.6826122340454,1165,6352176,"Nørre Voldgade 7, 1358 København K, Denmark"," 1358 "
"495",12.5701368858522,55.683296873528,1165,558455,"Linnésgade 14A, 1361 København K, Denmark"," 1361 "
"496",12.5717131797807,55.6825121385508,1165,13351693,"Fiolstræde 33, 1171 København K, Denmark"," 1171 "
"497",12.5721184412619,55.6825108762574,1165,9918560,"Rosengården 16, 1174 København K, Denmark"," 1174 "
"498",12.5718806599741,55.6812353934599,1165,9766329,"Nørregade 24C, 1165 København K, Denmark"," 1165 "
"499",12.5720325897052,55.6810016000515,1165,9746385,"Fiolstræde 5A, 1171 København K, Denmark"," 1171 "
"500",12.5723920830939,55.6817049740472,1165,1557373,"Fiolstræde 34, 1171 København K, Denmark"," 1171 "
"501",12.5704221446039,55.6827860440947,1165,8667742,"Nørre Voldgade 9, 1358 København K, Denmark"," 1358 "
"502",12.5717740344552,55.6821267427361,1165,12927152,"Fiolstræde 27A, 1171 København K, Denmark"," 1171 "
"503",12.5722741646376,55.6820417411948,1165,10567023,"Fiolstræde 38, 1171 København K, Denmark"," 1171 "
"504",12.5721627936206,55.6804455525915,1165,13220359,"Museumshuset, 1172 København K, Denmark"," 1172 "
"505",12.5718542817123,55.6818062234823,1165,8532752,"Fiolstræde 21, 1171 København K, Denmark"," 1171 "
"506",12.5721120214669,55.6806807214418,1165,9744188,"Krystalgade 20A, 1172 København K, Denmark"," 1172 "
"507",12.5709222050445,55.6828308500835,1165,8494250,"Nørre Voldgade 13, 1358 København K, Denmark"," 1358 "
"508",12.570560578531,55.6813455455539,1165,9340485,"Nørregade 37B, 1165 København K, Denmark"," 1165 "
"509",12.5720947015264,55.6826944911516,1165,9766388,"Fiolstræde 44, 1171 København K, Denmark"," 1171 "
"510",12.5728452174915,55.6821216732617,1165,3310216,"Rosengården 7, 1174 København K, Denmark"," 1174 "
"511",12.5709568165019,55.6813638589324,1165,9766235,"Nørregade 37B, 1165 København K, Denmark"," 1165 "
"512",12.5718693122518,55.6826512895569,1165,5312467,"Fiolstræde 44, 1171 København K, Denmark"," 1171 "
"513",12.5753545884135,55.6798852539707,1161,1121190,"Gråbrødretorv 14, 1154 København K, Denmark"," 1154 "
"514",12.5740852708041,55.6778580633272,1161,3930253,"Brolæggerstræde 14B, 1211 København K, Denmark"," 1211 "
"515",12.5742351671933,55.6793357842655,1161,6945870,"Skindergade 31, 1159 København K, Denmark"," 1159 "
"516",12.5761182755799,55.67935050015,1161,12524796,"Valkendorfsgade 30, 1151 København K, Denmark"," 1151 "
"517",12.5740479065616,55.6782292630971,1161,6281013,"Knabrostræde 2, 1210 København K, Denmark"," 1210 "
"518",12.574178896674,55.6797936699701,1161,938615,"Skindergade 28C, 1159 København K, Denmark"," 1159 "
"519",12.5760204185451,55.6781980695346,1161,6615778,"Vimmelskaftet 41E, 1161 København K, Denmark"," 1161 "
"520",12.5743657920286,55.679473852807,1161,13621973,"Skindergade 28-32, 1159 København K, Denmark"," 1159 "
"521",12.5740125147869,55.6784912097385,1161,924497,"Vimmelskaftet 49, 1161 København K, Denmark"," 1161 "
"522",12.5756793172899,55.6785544278544,1161,7805961,"Vimmelskaftet 39, 1161 København K, Denmark"," 1161 "
"523",12.5756903797528,55.6792422277762,1160,8578484,"Gråbrødretorv 21, 1154 København K, Denmark"," 1154 "
"524",12.5769775017744,55.6767001603627,1160,3341868,"Nybrogade 8, 1203 København K, Denmark"," 1203 "
"525",12.5754673300473,55.6786791248746,1159,7040155,"Vimmelskaftet 30, 1161 København K, Denmark"," 1161 "
"526",12.5754587943078,55.680138145492,1159,4197421,"Kejsergade 2, 1155 København K, Denmark"," 1155 "
"527",12.5723696116354,55.6781210501418,1159,12385628,"Gammeltorv 4, 1457 København K, Denmark"," 1457 "
"528",12.5759667179437,55.6795156602691,1159,2816989,"Gråbrødretorv 13, 1154 København K, Denmark"," 1154 "
"529",12.5735205817246,55.6765380060206,1159,9008858,"Kompagnistræde 32A, 1208 København K, Denmark"," 1208 "
"530",12.5742276474315,55.680734115729,1159,11007048,"Krystalgade 9A, 1172 København K, Denmark"," 1172 "
"531",12.5729288799141,55.6794253082839,1159,11549819,"Vor Frue Kirke, 1165 København K, Denmark"," 1165 "
"532",12.5734119286295,55.6785356995137,1159,13068708,"Skoubogade 3, 1158 København K, Denmark"," 1158 "
"533",12.576996880541,55.6818822368672,1159,13062703,"Pilestræde 67, 1119 København K, Denmark"," 1119 "
"534",12.5741577969266,55.6813429853918,1159,10835267,"Peder Hvitfeldts Stræde 4, 1173 København K, Denmark"," 1173 "
"535",12.5752439078454,55.6803273281393,1159,12483203,"Skindergade 14, 1159 København K, Denmark"," 1159 "
"536",12.5761217037798,55.681152421924,1159,13062061,"Købmagergade 52, 1150 København K, Denmark"," 1150 "
"537",12.5760457716261,55.6796165088763,1159,6044950,"Gråbrødretorv 11, 1154 København K, Denmark"," 1154 "
"538",12.5740135901111,55.6799436306835,1159,10786900,"Store Kannikestræde 19, 1169 København K, Denmark"," 1169 "
"539",12.5734013155979,55.6805286474252,1159,6656208,"Fiolstræde 12B, 1171 København K, Denmark"," 1171 "
"540",12.5742039686817,55.6798549517697,1159,8586723,"Skindergade 28C, 1159 København K, Denmark"," 1159 "
"541",12.5759204082081,55.6811848017646,1159,5275789,"Købmagergade 49, 1150 København K, Denmark"," 1150 "
"542",12.5728190777195,55.6779069034152,1158,10581642,"Nytorv 1F, 1450 København K, Denmark"," 1450 "
"543",12.5738303927741,55.6792512805423,1158,5800800,"Fiolstræde 2, 1171 København K, Denmark"," 1171 "
"544",12.5762052046548,55.6796686160634,1157,13342275,"Gråbrødretorv 9, 1154 København K, Denmark"," 1154 "
"545",12.575341145469,55.6805416602491,1157,3241203,"Skindergade 12, 1159 København K, Denmark"," 1159 "
"546",12.5752922698882,55.6802659312474,1157,7685002,"Skindergade 14, 1159 København K, Denmark"," 1159 "
"547",12.575208984609,55.6789407478572,1157,12692726,"Klosterstræde 11, 1157 København K, Denmark"," 1157 "
"548",12.5747735124021,55.680577280052,1157,222915,"Store Kannikestræde 8-10, 1169 København K, Denmark"," 1169 "
"549",12.5738060509475,55.6792272107628,1157,13304200,"Fiolstræde 2, 1171 København K, Denmark"," 1171 "
"550",12.5767381690222,55.6794261543266,1156,10077170,"Valkendorfsgade 23, 1160 København K, Denmark"," 1160 "
"551",12.5761298630197,55.6786323414817,1156,5776881,"Amagertorv 33, 1160 København K, Denmark"," 1160 "
"552",12.5744828536008,55.6784138979507,1156,7892249,"Badstuestræde 2, 1209 København K, Denmark"," 1209 "
"553",12.5762516407501,55.6799167599957,1154,11890447,"Gråbrødretorv 6, 1154 København K, Denmark"," 1154 "
"554",12.5787061840388,55.684551387322,1154,1276048,"Kavalergangen, 1350 København K, Denmark"," 1350 "
"555",12.5748501544384,55.6800850044036,1154,11890126,"Lille Kannikestræde 4, 1170 København K, Denmark"," 1170 "
"556",12.5741767512062,55.6800915936472,1154,9614456,"Store Kannikestræde 16-18, 1169 København K, Denmark"," 1169 "
"557",12.5766665680268,55.6812065612165,1154,13511886,"Købmagergade 50, 1150 København K, Denmark"," 1150 "
"558",12.5763310959591,55.6784989321071,1154,8589360,"Amagertorv 33, 1160 København K, Denmark"," 1160 "
"559",12.5759976650794,55.678901354204,1154,3310339,"Klosterstræde 2, 1157 København K, Denmark"," 1157 "
"560",12.5761898519657,55.6806219550726,1153,8708967,"Skindergade 5, 1159 København K, Denmark"," 1159 "
"561",12.576156899901,55.6811543061243,1153,5004282,"Købmagergade 52, 1150 København K, Denmark"," 1150 "
"562",12.5757184006966,55.6813262040624,1153,6995459,"Rundetårn, 1150 København K, Denmark"," 1150 "
